Peer Impact Program,"Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
FOCUS Mentor Program,"Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
Diversity Zone,"Wednesday, September 21, 2016",9:15 am,Kimmel,"Wednesday, September 21, 2016",TRUE,3:00:00
Disability Zone,"Thursday, October 6, 2016",9:15 am,Kimmel,"Thursday, October 6, 2016",TRUE,3:00:00
DREAM Zone,"Friday, September 30, 2016",2:00 pm,Kimmel,"Friday, September 30, 2016",TRUE,3:00:00
Multiple (Eye)dentity Series,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Administrators Cultural Training (ACT) Institute,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Students of Color Leadership Retreat,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Intergroup Dialogue,"Sunday, September 4, 2016",11:59 PM,Kimmel,"Sunday, September 4, 2016",TRUE,
DICP,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Club Management Training,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Officer Training,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
NCD Training,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
FSL Retreat,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Gateways,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Dance Marathon Retreat,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Fraternal Leadership Institute,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Service and Volunteer Fairs,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
NYU Service Leadership Retreat,"Thursday, September 1, 2016",9:00 AM,NYC,"Thursday, September 1, 2016",TRUE,
Clinton Global Initiative University (CGIU) ,"Friday, April 1, 2016",10:00 AM,Kimmel,"Friday, April 1, 2016",TRUE,
Clinton Global Initiative University (CGIU) ,"Saturday, April 2, 2016",10:00 AM,Kimmel,"Saturday, April 2, 2016",TRUE,
Clinton Global Initiative University (CGIU) ,"Sunday, April 3, 2016",10:00 AM,Kimmel,"Sunday, April 3, 2016",TRUE,
Davis Projects for Peace,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
NYU Service Film Series,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
NYU Alternative Breaks,"Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
NYU Project OutReach,"Monday, June 13, 2017",11:45 PM,,"Monday, June 13, 2017",TRUE,
9/11 Day of Service,"Tuesday, September 11, 2016",10:00 AM,NYC,"Tuesday, September 11, 2016",TRUE,5:00:00
Fritzi Weitzman Owens Memorial Lecture,"Thursday, September 1, 2016",9:00 AM,GCASL,"Thursday, September 1, 2016",TRUE,
Faith Zone,"Thursday, September 1, 2016",9:00 AM,GCASL,"Thursday, September 1, 2016",TRUE,
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, September 05, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, September 12, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, September 19, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, September 26, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, October 03, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, October 10, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, October 17, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, October 24, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, October 31, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, November 07, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, November 14, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, November 21, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, November 28, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, December 05, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, December 12, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, December 19, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, December 26, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 06, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 13, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 20, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 27, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 04, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 11, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 18, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 25, 2016",TRUE,1:30:00
